地区,模型,月份,实际事件数,预测事件数
撒哈拉以南非洲,季节朴素,2014-01-01,144,83.0
撒哈拉以南非洲,季节朴素,2014-02-01,163,86.0
撒哈拉以南非洲,季节朴素,2014-03-01,244,97.0
撒哈拉以南非洲,季节朴素,2014-04-01,200,76.0
撒哈拉以南非洲,季节朴素,2014-05-01,213,84.0
撒哈拉以南非洲,季节朴素,2014-06-01,204,59.0
撒哈拉以南非洲,季节朴素,2014-07-01,318,78.0
撒哈拉以南非洲,季节朴素,2014-08-01,146,83.0
撒哈拉以南非洲,季节朴素,2014-09-01,179,72.0
撒哈拉以南非洲,季节朴素,2014-10-01,191,91.0
撒哈拉以南非洲,季节朴素,2014-11-01,165,78.0
撒哈拉以南非洲,季节朴素,2014-12-01,154,112.0
撒哈拉以南非洲,季节朴素,2015-01-01,173,144.0
撒哈拉以南非洲,季节朴素,2015-02-01,179,163.0
撒哈拉以南非洲,季节朴素,2015-03-01,160,244.0
撒哈拉以南非洲,季节朴素,2015-04-01,161,200.0
撒哈拉以南非洲,季节朴素,2015-05-01,174,213.0
撒哈拉以南非洲,季节朴素,2015-06-01,137,204.0
撒哈拉以南非洲,季节朴素,2015-07-01,203,318.0
撒哈拉以南非洲,季节朴素,2015-08-01,135,146.0
